iter	Passed	Remaining
0	1	1607
1	3	1525
2	4	1537
3	6	1577
4	8	1631
5	9	1637
6	11	1637
7	13	1632
8	14	1625
9	16	1627
10	18	1640
11	19	1645
12	21	1637
13	23	1630
14	24	1634
15	26	1630
16	28	1628
17	30	1636
18	31	1651
19	34	1667
20	35	1662
21	37	1654
22	39	1667
23	41	1679
24	42	1672
25	44	1667
26	46	1673
27	48	1685
28	50	1685
29	52	1684
30	53	1687
31	55	1685
32	57	1695
33	59	1691
34	61	1690
35	62	1682
36	64	1677
37	65	1668
38	67	1673
39	70	1688
40	71	1683
41	73	1681
42	75	1677
43	76	1670
44	78	1664
45	79	1656
46	81	1651
47	82	1639
48	84	1631
49	85	1622
50	87	1623
51	88	1620
52	90	1617
53	92	1612
54	93	1606
55	95	1609
56	97	1605
57	98	1602
58	100	1599
59	102	1605
60	104	1605
61	106	1603
62	107	1605
63	109	1602
64	111	1598
65	112	1596
66	114	1594
67	115	1589
68	117	1586
69	119	1587
70	121	1585
71	122	1580
72	124	1581
73	126	1577
74	128	1580
75	129	1579
76	131	1579
77	133	1576
78	135	1574
79	136	1570
80	138	1569
81	139	1565
82	141	1561
83	142	1555
84	144	1550
85	145	1547
86	146	1540
87	148	1535
88	149	1531
89	151	1528
90	152	1525
91	154	1525
92	156	1521
93	157	1520
94	159	1520
95	161	1520
96	162	1516
97	164	1514
98	166	1513
99	167	1508
100	169	1507
101	170	1503
102	172	1499
103	173	1495
104	175	1491
105	176	1489
106	177	1485
107	179	1481
108	180	1476
109	182	1473
110	183	1471
111	185	1468
112	186	1467
113	188	1463
114	189	1460
115	191	1456
116	192	1452
117	193	1449
118	195	1448
119	197	1450
120	199	1449
121	201	1449
122	203	1448
123	204	1446
124	206	1444
125	208	1443
126	209	1443
127	211	1441
128	213	1439
129	215	1441
130	217	1441
131	218	1439
132	220	1439
133	222	1439
134	224	1437
135	226	1435
136	227	1433
137	229	1433
138	231	1432
139	233	1431
140	234	1430
141	236	1429
142	238	1428
143	240	1429
144	242	1428
145	244	1429
146	246	1428
147	248	1427
148	249	1425
149	251	1426
150	253	1423
151	254	1419
152	255	1416
153	257	1414
154	259	1412
155	260	1410
156	262	1408
157	263	1406
158	265	1404
159	267	1403
160	269	1403
161	271	1402
162	273	1404
163	275	1405
164	277	1404
165	279	1404
166	281	1404
167	283	1402
168	284	1398
169	286	1397
170	287	1395
171	290	1396
172	292	1398
173	294	1397
174	296	1397
175	298	1396
176	299	1394
177	301	1391
178	302	1389
179	304	1386
180	305	1382
181	307	1381
182	308	1378
183	309	1374
184	311	1372
185	313	1370
186	314	1368
187	316	1366
188	318	1365
189	320	1365
190	322	1364
191	323	1362
192	325	1362
193	327	1362
194	330	1362
195	332	1362
196	333	1360
197	335	1359
198	337	1358
199	339	1356
200	340	1354
201	342	1354
202	344	1352
203	346	1351
204	348	1351
205	350	1349
206	351	1347
207	353	1346
208	355	1344
209	357	1344
210	358	1341
211	360	1339
212	362	1338
213	363	1336
214	365	1335
215	367	1334
216	369	1333
217	371	1331
218	372	1329
219	374	1328
220	376	1326
221	377	1324
222	379	1322
223	380	1319
224	382	1316
225	384	1315
226	385	1313
227	387	1310
228	388	1307
229	390	1305
230	391	1303
231	393	1301
232	394	1299
233	396	1297
234	398	1295
235	399	1294
236	401	1291
237	402	1288
238	404	1286
239	405	1285
240	407	1283
241	408	1280
242	410	1277
243	411	1275
244	413	1274
245	415	1272
246	417	1271
247	418	1269
248	419	1266
249	421	1264
250	423	1262
251	424	1260
252	426	1258
253	428	1257
254	429	1255
255	431	1253
256	433	1252
257	434	1250
258	436	1248
259	438	1246
260	439	1244
261	441	1243
262	443	1241
263	444	1239
264	446	1238
265	448	1236
266	449	1233
267	450	1230
268	451	1227
269	453	1225
270	455	1224
271	457	1223
272	458	1220
273	460	1220
274	462	1220
275	464	1219
276	467	1219
277	469	1218
278	471	1218
279	473	1217
280	474	1215
281	476	1214
282	478	1212
283	480	1210
284	482	1209
285	483	1208
286	485	1206
287	487	1204
288	489	1203
289	491	1202
290	492	1200
291	494	1197
292	495	1195
293	496	1193
294	498	1190
295	499	1188
296	501	1186
297	502	1184
298	504	1182
299	505	1180
300	507	1179
301	509	1177
302	511	1175
303	512	1173
304	514	1171
305	515	1169
306	517	1168
307	519	1166
308	520	1164
309	522	1163
310	524	1161
311	525	1159
312	527	1158
313	529	1156
314	531	1155
315	533	1154
316	534	1152
317	536	1150
318	538	1148
319	539	1147
320	541	1145
321	543	1144
322	545	1143
323	546	1140
324	548	1139
325	550	1137
326	551	1135
327	553	1133
328	554	1131
329	556	1129
330	558	1127
331	559	1126
332	561	1124
333	562	1121
334	564	1119
335	565	1117
336	567	1115
337	568	1113
338	570	1111
339	571	1109
340	573	1107
341	575	1106
342	576	1104
343	578	1103
344	580	1101
345	582	1100
346	583	1098
347	585	1096
348	587	1095
349	588	1093
350	590	1091
351	591	1089
352	593	1087
353	594	1085
354	596	1083
355	597	1081
356	599	1079
357	601	1078
358	602	1076
359	604	1074
360	605	1072
361	607	1070
362	609	1069
363	611	1067
364	613	1066
365	614	1064
366	616	1063
367	618	1062
368	620	1060
369	621	1058
370	623	1057
371	625	1055
372	626	1053
373	628	1052
374	630	1050
375	632	1049
376	633	1047
377	635	1046
378	637	1044
379	639	1043
380	641	1041
381	642	1039
382	644	1038
383	645	1036
384	647	1034
385	649	1032
386	650	1030
387	652	1029
388	654	1027
389	655	1025
390	657	1023
391	658	1021
392	660	1019
393	662	1018
394	663	1016
395	665	1015
396	667	1013
397	669	1012
398	670	1010
399	672	1008
400	674	1006
401	675	1005
402	677	1003
403	679	1001
404	680	999
405	682	998
406	683	996
407	685	994
408	687	992
409	688	990
410	690	988
411	691	987
412	693	985
413	695	983
414	696	982
415	698	981
416	700	979
417	702	978
418	704	976
419	706	975
420	707	973
421	709	971
422	712	971
423	713	969
424	716	968
425	717	967
426	719	965
427	722	964
428	723	963
429	725	961
430	727	959
431	728	957
432	730	956
433	731	953
434	732	951
435	734	949
436	735	948
437	737	946
438	739	944
439	740	942
440	741	940
441	743	938
442	745	936
443	746	934
444	747	932
445	749	930
446	750	928
447	752	927
448	754	925
449	755	923
450	757	921
451	758	919
452	759	917
453	761	915
454	763	914
455	764	912
456	766	910
457	768	908
458	769	907
459	771	905
460	772	903
461	774	901
462	775	899
463	777	898
464	779	896
465	780	894
466	781	892
467	783	890
468	785	888
469	786	886
470	787	885
471	789	883
472	791	881
473	793	880
474	795	879
475	797	877
476	799	876
477	801	875
478	803	874
479	805	872
480	807	870
481	808	869
482	810	867
483	812	865
484	813	863
485	815	862
486	816	860
487	818	858
488	820	856
